objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
357;private;;0;1.0;0.0;{FE840BA3-C47A-4000-B6EC-9D4D4ED47981};"{""type"": ""Point"", ""coordinates"": [-79.0447490255094, 35.899447195474096]}";"35.8994471955; -79.0447490255"
359;private;;0;1.0;0.0;{0B5B8014-02B5-486B-975D-3F4BB05B4691};"{""type"": ""Point"", ""coordinates"": [-79.04251841897346, 35.89890979329624]}";"35.8989097933; -79.042518419"
498;public;;0;1.0;0.0;{5381A318-5735-4F01-8A0F-38131A97977F};"{""type"": ""Point"", ""coordinates"": [-79.01330654251905, 35.94169004933542]}";"35.9416900493; -79.0133065425"
496;public;;0;1.0;0.0;{06B25557-DA22-4263-BDF0-6F9D9A9F53D2};"{""type"": ""Point"", ""coordinates"": [-79.00855852803099, 35.944067725864265]}";"35.9440677259; -79.008558528"
491;public;;0;1.0;0.0;{C9989420-0756-420B-B14B-6D58EDC4BD73};"{""type"": ""Point"", ""coordinates"": [-79.00292318869462, 35.94942423226952]}";"35.9494242323; -79.0029231887"
72;public;;0;1.0;0.0;{AE8D1487-2810-4D8A-ADF5-7FF6E8AB91F1};"{""type"": ""Point"", ""coordinates"": [-79.02570803626436, 35.952413333092636]}";"35.9524133331; -79.0257080363"
56;private;;0;1.0;0.0;{884A74CF-BE13-4285-A5BA-52E802DD1F96};"{""type"": ""Point"", ""coordinates"": [-79.04157960327187, 35.93981322665542]}";"35.9398132267; -79.0415796033"
51;public;;0;1.0;0.0;{F0C3D281-9E6A-4105-B7D7-723CAEBB1ADC};"{""type"": ""Point"", ""coordinates"": [-79.04458204158891, 35.95411706634045]}";"35.9541170663; -79.0445820416"
57;public;;0;1.0;0.0;{FB49FE20-1A24-4849-8007-4DC45DA1D5EB};"{""type"": ""Point"", ""coordinates"": [-79.03289371416969, 35.9399688563734]}";"35.9399688564; -79.0328937142"
33;public;;0;1.0;0.0;{15DD092C-14B7-4E04-B763-2D80C63CD183};"{""type"": ""Point"", ""coordinates"": [-79.03123580937662, 35.964701639503964]}";"35.9647016395; -79.0312358094"
36;public;;0;1.0;0.0;{EB775E23-85D8-46FD-87DC-D92F6D99B281};"{""type"": ""Point"", ""coordinates"": [-79.04972497284236, 35.94936786632448]}";"35.9493678663; -79.0497249728"
38;public;;0;1.0;0.0;{6B679FDF-74EF-416F-9B6D-7A5AC01E35A1};"{""type"": ""Point"", ""coordinates"": [-79.04816950986155, 35.94769938717844]}";"35.9476993872; -79.0481695099"
96;private;100;0;1.0;0.0;{E135B9E0-9C72-4CB2-9920-7E61F2103D36};"{""type"": ""Point"", ""coordinates"": [-79.06974697848531, 35.92569859058668]}";"35.9256985906; -79.0697469785"
106;public;318;0;1.0;0.0;{890F4065-7C74-4D54-A7B1-FFA6720B20B9};"{""type"": ""Point"", ""coordinates"": [-79.06219222932026, 35.91621886988526]}";"35.9162188699; -79.0621922293"
101;public;;0;1.0;0.0;{27F7C874-49C9-4440-A1E0-C3B7E4C675BD};"{""type"": ""Point"", ""coordinates"": [-79.06914776300572, 35.921059564756455]}";"35.9210595648; -79.069147763"
102;public;;0;1.0;0.0;{EE89CACF-E2EF-4386-9452-9766366B5B3F};"{""type"": ""Point"", ""coordinates"": [-79.06957324948847, 35.92227652406259]}";"35.9222765241; -79.0695732495"
